point[#],X[0.0-1.0],Sample ,P[kbar],T[°C],phase,mode[wt%],density[kg/m3],SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,CO2,H2O,,,,,,,,,
1,1,m1,70,1630,cpx,100,3300,56.30,0.17,4.50,0.75,5.91,0.17,20.32,10.08,1.55,0.02,0.09,0.01,0,0,,,,,,,,,
1,1,m1,70,1630,g,100,3600,43.44,0.44,21.96,1.79,8.52,0.27,20.78,4.27,0.13,0.00,0.03,0.04,0,0,,,,,,,,,
1,1,m1,70,1630,liq,100,2800,42.93,2.41,4.98,0.30,12.83,0.27,17.05,10.17,2.56,0.71,0.10,0.42,1.62,0.82,,,,,,,,,
2,1,m2,70,1630,ol,100,3300,40.76,0.02,0.16,0.05,10.18,0.14,47.29,0.17,0.07,0.00,0.38,0.01,0,0,,,,,,,,,
2,1,m2,70,1630,opx,100,3300,57.85,0.09,1.85,0.18,5.99,0.13,31.56,1.88,0.48,0.00,0.15,0.01,0,0,,,,,,,,,
2,1,m2,70,1630,cpx,100,3300,57.07,0.12,2.72,0.27,5.72,0.16,25.76,6.97,1.25,0.01,0.11,0.00,0,0,,,,,,,,,
2,1,m2,70,1630,g,100,3600,43.92,0.51,21.66,1.09,6.86,0.22,22.85,3.37,0.08,0.00,0.04,0.04,0,0,,,,,,,,,
2,1,m2,70,1630,liq,100,2800,36.39,2.31,3.29,0.17,13.64,0.31,22.18,8.39,2.84,0.90,0.11,0.41,1.67,0.84,,,,,,,,,
3,1,m3,70,1630,opx,100,3300,56.98,0.07,2.13,0.17,5.34,0.12,32.50,1.95,0.47,0.00,0.11,0.00,0,0,,,,,,,,,
3,1,m3,70,1630,cpx,100,3300,56.69,0.12,2.70,0.20,5.50,0.15,27.00,6.69,1.09,0.01,0.09,0.00,0,0,,,,,,,,,
3,1,m3,70,1630,g,100,3600,43.67,0.52,22.20,0.83,6.24,0.19,23.74,3.32,0.07,0.00,0.03,0.04,0,0,,,,,,,,,
3,1,m3,70,1630,liq,100,2800,43.54,1.27,5.27,0.23,11.47,0.23,24.13,6.96,0.89,0.45,0.11,0.26,0.89,0.45,,,,,,,,,
4,1,m4,70,1630,opx,100,3300,56.99,0.10,2.27,0.15,6.06,0.13,31.58,2.04,0.48,0.00,0.12,0.00,0,0,,,,,,,,,
4,1,m4,70,1630,cpx,100,3300,56.33,0.13,2.99,0.20,5.79,0.15,26.00,6.90,1.19,0.01,0.09,0.00,0,0,,,,,,,,,
4,1,m4,70,1630,g,100,3600,43.78,0.49,22.95,0.79,6.85,0.20,22.81,3.49,0.07,0.00,0.02,0.03,0,0,,,,,,,,,
4,1,m4,70,1630,liq,100,2800,39.57,1.93,4.49,0.11,13.75,0.25,21.48,9.22,2.80,0.74,0.11,0.52,1.31,0.66,,,,,,,,,
5,1,m7,70,1480,opx,100,3300,56.99,0.09,2.10,0.05,7.73,0.14,30.04,1.80,0.65,0.01,0.27,0.00,0,0,,,,,,,,,
5,1,m7,70,1480,cpx,100,3300,56.13,0.16,4.02,0.10,6.96,0.17,22.08,7.99,2.04,0.02,0.20,0.01,0,0,,,,,,,,,
5,1,m7,70,1480,g,100,3600,43.53,0.35,22.64,0.23,9.11,0.26,21.74,3.06,0.14,0.01,0.06,0.01,0,0,,,,,,,,,
5,1,m7,70,1480,liq,100,2800,40.73,2.64,4.33,0.32,12.13,0.30,16.22,9.21,2.50,0.72,0.28,0.50,1.96,0.99,,,,,,,,,
6,1,m8,70,1480,opx,100,3300,56.53,0.16,1.85,0.07,7.55,0.14,29.67,2.46,0.62,0.00,0.14,0.01,0,0,,,,,,,,,
6,1,m8,70,1480,cpx,100,3300,54.34,0.50,3.22,0.10,7.41,0.17,22.75,8.80,1.65,0.09,0.11,0.06,0,0,,,,,,,,,
6,1,m8,70,1480,g,100,3600,44.25,1.05,20.05,0.24,9.94,0.23,21.82,3.94,0.28,0.08,0.04,0.07,0,0,,,,,,,,,
6,1,m8,70,1480,liq,100,2800,34.60,1.90,10.90,0.00,12.10,0.25,18.15,6.45,2.62,1.06,0.00,0.30,2.59,1.31,,,,,,,,,
7,1,m9,70,1480,ol,100,3300,40.04,0.06,0.16,0.17,12.84,0.18,45.26,0.19,0.14,0.03,0.32,0.02,0,0,,,,,,,,,
7,1,m9,70,1480,cpx,100,3300,55.44,0.41,3.66,1.28,6.43,0.21,21.50,8.31,2.58,0.10,0.08,0.03,0,0,,,,,,,,,
7,1,m9,70,1480,g,100,3600,42.51,1.34,19.48,3.33,9.13,0.33,20.90,3.90,0.24,0.04,0.03,0.07,0,0,,,,,,,,,
7,1,m9,70,1480,liq,100,2800,27.92,4.16,2.03,0.22,14.46,0.32,18.04,8.38,3.59,2.06,0.09,1.05,2.62,1.06,,,,,,,,,
8,1,m9-2,70,1480,ol,100,3300,39.84,0.05,0.07,0.09,12.63,0.16,45.84,0.12,0.08,0.01,0.29,0.01,0,0,,,,,,,,,
8,1,m9-2,70,1480,cpx,100,3300,55.92,0.38,3.79,0.97,6.02,0.19,21.53,8.24,2.68,0.03,0.07,0.01,0,0,,,,,,,,,
8,1,m9-2,70,1480,g,100,3600,42.31,1.29,20.44,2.31,8.94,0.33,20.79,3.92,0.21,0.02,0.03,0.09,0,0,,,,,,,,,
8,1,m9-2,70,1480,liq,100,2800,26.15,3.96,1.91,0.10,12.95,0.29,17.52,8.05,3.00,2.90,0.04,1.02,11.53,5.80,,,,,,,,,
9,1,m10,70,1480,ol,100,3300,40.20,0.04,0.09,0.12,12.78,0.19,46.73,0.22,0.41,0.00,0.03,0.03,0,0,,,,,,,,,
9,1,m10,70,1480,opx,100,3300,57.85,0.09,1.85,0.18,5.99,0.13,31.56,1.88,0.48,0.00,0.15,0.01,0,0,,,,,,,,,
9,1,m10,70,1480,cpx,100,3300,55.12,0.39,3.92,0.92,5.39,0.14,19.24,10.88,2.63,0.05,0.07,0.03,0,0,,,,,,,,,
9,1,m10,70,1480,g,100,3600,42.47,1.17,19.72,2.03,8.52,0.32,20.18,4.55,0.35,0.00,0.00,0.07,0,0,,,,,,,,,
9,1,m10,70,1480,liq,100,2800,31.83,4.23,2.28,0.09,12.47,0.33,21.34,9.08,2.94,1.42,0.20,0.69,5.55,2.80,,,,,,,,,
10,1,m11,70,1420,ol,100,3300,40.07,0.04,0.05,0.06,9.20,0.16,48.81,0.12,0.06,0.02,0.34,0.02,0,0,,,,,,,,,
10,1,m11,70,1420,opx,100,3300,57.03,0.14,1.16,0.19,5.47,0.17,32.88,1.61,0.41,0.02,0.11,0.00,0,0,,,,,,,,,
10,1,m11,70,1420,cpx,100,3300,57.03,0.14,1.16,0.19,5.47,0.17,32.88,1.61,0.41,0.02,0.11,0.00,0,0,,,,,,,,,
10,1,m11,70,1420,g,100,3600,42.86,1.26,20.43,1.56,7.40,0.34,21.43,4.57,0.14,0.03,0.03,0.06,0,0,,,,,,,,,
10,1,m11,70,1420,liq,100,2800,25.62,3.95,2.03,0.13,10.99,0.41,21.38,11.99,9.45,4.72,0.05,0.97,9.45,4.72,,,,,,,,,
11,1,aob2,70,1630,cpx,100,3300,56.19,0.13,3.18,1.19,5.18,0.14,23.31,8.73,1.72,0.02,0.10,0.00,0,0,,,,,,,,,
11,1,aob2,70,1630,g,100,3600,43.20,0.49,20.41,3.24,7.06,0.21,22.05,3.98,0.11,0.00,0.03,0.03,0,0,,,,,,,,,
11,1,aob2,70,1630,liq,100,2800,39.38,2.48,4.14,0.43,11.12,0.23,18.40,10.65,2.38,1.28,0.10,0.44,6.79,2.39,,,,,,,,,
12,1,aob3,70,1630,opx,100,3300,57.45,0.08,1.81,0.74,5.84,0.11,32.01,1.49,0.47,0.00,0.10,0.01,0,0,,,,,,,,,
12,1,aob3,70,1630,cpx,100,3300,56.66,0.12,2.88,0.87,5.79,0.13,26.29,6.00,1.28,0.02,0.07,0.00,0,0,,,,,,,,,
12,1,aob3,70,1630,g,100,3600,43.61,0.44,20.12,3.76,6.72,0.18,22.97,3.32,0.09,0.01,0.03,0.02,0,0,,,,,,,,,
12,1,aob3,70,1630,liq,100,2800,42.07,2.29,4.56,0.38,11.06,0.20,19.34,9.14,6.00,2.11,0.07,0.37,6.00,2.11,,,,,,,,,
13,1,aob4,70,1630,ol,100,3300,40.75,0.02,0.11,0.09,9.32,0.11,48.41,0.15,0.08,0.05,0.34,0.01,0,0,,,,,,,,,
13,1,aob4,70,1630,opx,100,3300,57.22,0.10,1.47,0.26,5.52,0.11,32.70,1.79,0.33,0.02,0.14,0.00,0,0,,,,,,,,,
13,1,aob4,70,1630,g,100,3600,43.47,0.62,21.24,1.94,6.43,0.18,23.04,3.55,0.07,0.03,0.04,0.03,0,0,,,,,,,,,
13,1,aob4,70,1630,liq,100,2800,34.92,2.49,2.91,0.18,13.22,0.24,23.72,9.27,2.31,1.22,0.13,0.44,6.09,2.14,,,,,,,,,
14,1,aob5,70,1630,ol,100,3300,40.64,0.02,0.13,0.12,8.84,0.11,48.50,0.17,0.05,0.00,0.35,0.00,0,0,,,,,,,,,
14,1,aob5,70,1630,opx,100,3300,57.86,0.09,1.50,0.37,5.26,0.11,32.57,1.99,0.35,0.00,0.13,0.00,0,0,,,,,,,,,
14,1,aob5,70,1630,cpx,100,3300,56.83,0.11,2.07,0.53,4.98,0.14,26.59,8.02,0.98,0.01,0.11,0.00,0,0,,,,,,,,,
14,1,aob5,70,1630,g,100,3600,43.76,0.56,20.00,2.79,6.06,0.19,22.99,3.81,0.06,0.00,0.04,0.03,0,0,,,,,,,,,
14,1,aob5,70,1630,liq,100,2800,36.07,1.99,3.07,0.30,12.17,0.25,23.35,9.49,3.07,1.85,0.15,0.33,7.31,2.57,,,,,,,,,
15,1,aob6,70,1480,ol,100,3300,40.11,0.04,0.13,0.16,10.31,0.16,47.57,0.17,0.08,0.08,0.37,0.01,0,0,,,,,,,,,
15,1,aob6,70,1480,opx,100,3300,56.70,0.14,1.22,0.59,6.04,0.15,32.01,1.92,0.42,0.03,0.16,0.00,0,0,,,,,,,,,
15,1,aob6,70,1480,cpx,100,3300,55.82,0.21,2.09,1.04,5.34,0.19,23.04,10.64,1.41,0.05,0.10,0.01,0,0,,,,,,,,,
15,1,aob6,70,1480,g,100,3600,42.16,1.13,18.36,4.84,7.67,0.32,21.01,4.81,0.10,0.03,0.04,0.02,0,0,,,,,,,,,
15,1,aob6,70,1480,liq,100,2800,23.83,3.10,1.46,0.20,10.76,0.29,20.32,12.93,3.46,2.36,0.05,0.57,13.49,4.73,,,,,,,,,
16,1,aob7,70,1480,opx,100,3300,56.70,0.13,1.40,0.24,7.49,0.11,31.02,1.60,0.41,0.01,0.17,0.01,0,0,,,,,,,,,
16,1,aob7,70,1480,cpx,100,3300,55.77,0.24,3.01,0.22,6.53,0.13,21.75,10.31,1.61,0.04,0.12,0.01,0,0,,,,,,,,,
16,1,aob7,70,1480,g,100,3600,42.52,0.87,22.84,0.24,9.23,0.21,20.17,4.56,0.11,0.05,0.03,0.08,0,0,,,,,,,,,
16,1,aob7,70,1480,liq,100,2800,29.10,3.90,2.59,0.06,13.29,0.20,17.48,11.53,2.96,1.93,0.09,0.82,12.52,4.40,,,,,,,,,
17,1,aob8,70,1480,opx,100,3300,57.37,0.15,1.33,0.15,7.37,0.11,31.41,1.68,0.40,0.04,0.17,0.00,0,0,,,,,,,,,
17,1,aob8,70,1480,cpx,100,3300,56.68,0.25,2.69,0.15,6.59,0.13,22.72,9.92,1.40,0.05,0.12,0.01,0,0,,,,,,,,,
17,1,aob8,70,1480,g,100,3600,43.00,0.96,22.82,0.20,9.08,0.21,20.38,4.61,0.12,0.04,0.03,0.07,0,0,,,,,,,,,
17,1,aob8,70,1480,liq,100,3600,28.58,3.72,2.20,0.04,13.90,0.21,19.38,11.56,3.07,1.82,0.10,0.60,10.24,3.60,,,,,,,,,
18,1,aob9,70,1480,opx,100,3300,57.53,0.07,1.76,0.08,7.10,0.11,31.03,1.39,0.45,0.01,0.28,0.02,0,0,,,,,,,,,
18,1,aob9,70,1480,g,100,3600,43.72,0.37,23.22,0.50,8.33,0.21,22.03,2.93,0.09,0.02,0.06,0.03,0,0,,,,,,,,,
18,1,aob9,70,1480,liq,100,2800,38.35,2.37,4.38,0.08,11.11,0.19,16.56,9.53,2.64,1.41,0.15,0.52,7.04,2.48,,,,,,,,,
19,1,aob10,70,1480,opx,100,3300,57.13,0.16,1.44,0.06,7.23,0.11,31.51,1.84,0.40,0.01,0.16,0.00,0,0,,,,,,,,,
19,1,aob10,70,1480,cpx,100,3300,56.06,0.23,2.61,0.12,6.25,0.13,23.03,10.10,1.38,0.03,0.11,0.00,0,0,,,,,,,,,
19,1,aob10,70,1480,g,100,3600,42.96,0.98,22.51,0.44,8.58,0.19,21.32,4.21,0.09,0.02,0.03,0.06,0,0,,,,,,,,,
19,1,aob10,70,1480,liq,100,2800,26.80,3.40,2.21,0.03,13.72,0.21,18.32,11.68,3.18,1.81,0.06,0.90,10.02,3.53,,,,,,,,,
20,1,aob11,70,1480,ol,100,3300,41.01,0.03,0.08,0.10,10.14,0.15,46.92,0.15,0.05,0.00,0.37,0.01,0,0,,,,,,,,,
20,1,aob11,70,1480,opx,100,3300,56.74,0.14,1.26,0.51,5.86,0.15,31.53,1.91,0.39,0.00,0.15,0.00,0,0,,,,,,,,,
20,1,aob11,70,1480,cpx,100,3300,56.64,0.21,2.09,0.86,5.13,0.18,22.60,10.57,1.32,0.02,0.10,0.01,0,0,,,,,,,,,
20,1,aob11,70,1480,g,100,3600,42.54,1.05,18.59,3.96,7.35,0.29,20.81,4.67,0.08,0.01,0.03,0.03,0,0,,,,,,,,,
20,1,aob11,70,1480,liq,100,2800,42.54,1.05,18.59,3.96,7.35,0.29,20.81,4.67,3.61,2.16,0.03,0.03,11.54,4.06,,,,,,,,,
21,1,aob12,70,1420,ol,100,3300,40.24,0.04,0.05,0.05,10.79,0.15,46.93,0.12,0.05,0.01,0.39,0.02,0,0,,,,,,,,,
21,1,aob12,70,1420,opx,100,3300,57.30,0.17,1.09,0.21,6.36,0.15,31.93,1.71,0.40,0.02,0.14,0.01,0,0,,,,,,,,,
21,1,aob12,70,1420,cpx,100,3300,55.87,0.32,2.26,0.47,5.31,0.19,21.54,11.95,1.53,0.04,0.10,0.01,0,0,,,,,,,,,
21,1,aob12,70,1420,g,100,3600,42.95,1.11,20.88,1.50,8.29,0.31,20.77,4.82,0.11,0.02,0.03,0.09,0,0,,,,,,,,,
21,1,aob12,70,1420,liq,100,2800,21.86,3.83,1.28,0.01,11.26,0.27,20.10,12.59,3.60,2.48,0.08,0.48,15.42,2.71,,,,,,,,,
22,1,j16-1,70,1580,ol,100,3300,41.61,0.01,0.06,0.10,6.26,0.09,50.73,0.11,0.04,0.00,0.39,0.01,0,0,,,,,,,,,
22,1,j16-1,70,1580,opx,100,3300,58.93,0.04,1.00,0.27,3.73,0.10,34.14,1.73,0.29,0.00,0.14,0.00,0,0,,,,,,,,,
22,1,j16-1,70,1580,cpx,100,3300,58.25,0.14,1.64,0.28,4.57,0.15,24.69,10.06,1.18,0.04,0.12,0.01,0,0,,,,,,,,,
22,1,j16-1,70,1580,g,100,3600,44.68,0.42,19.69,2.70,4.76,0.18,24.34,3.78,0.07,0.00,0.03,0.03,0,0,,,,,,,,,
22,1,j16-1,70,1580,liq,100,2800,27.70,1.18,1.74,0.15,8.35,0.21,25.32,12.72,3.19,1.17,0.12,0.23,15.73,3.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,